"","run.date","Wt.mg","ID","N","N.mg","N.area","C","C.mg","C.area","site","LU","stand","position","year","rep","inc_from","inc_to","depth","line","Nadj","CNevalday"
"122","11-Jul-2017711_06.prm",26.168,"Vg.E.L.4.0-10.16",0.2723,0.0713,17.7677,4.4982,1.1771,650.729,"Vg","E","Vg.E","L","16",4,0,10,5,3,0.270606650733182,"Jul-11"
"123","11-Jul-2017811_12.prm",26.622,"Vg.E.Ee2.3.0-10.16",0.1979,0.0527,14.1039,3.1694,0.8438,464.762,"Vg","E","Vg.E","Ee2","16",3,0,10,5,4,0.19626248940843,"Jul-11"
"124","11-Jul-2017911_18.prm",26.648,"Vg.E.T.3.0-10.16",0.2967,0.0791,19.3047,4.3156,1.15,635.6332,"Vg","E","Vg.E","T","16",3,0,10,5,5,0.293637554099298,"Jul-11"
"125","11-Jul-20171011_23.prm",25.486,"Vg.E.L.3.0-10.16",0.3343,0.0852,20.5163,5.191,1.323,732.1343,"Vg","E","Vg.E","L","16",3,0,10,5,6,0.330167880286787,"Jul-11"
"127","11-Jul-20171211_35.prm",27.718,"Vg.N.A.1.0-10.16",0.4597,0.1274,28.8353,6.4266,1.7813,987.8597,"Vg","N","Vg.N","A","16",1,0,10,5,8,0.452154916203845,"Jul-11"
"128","11-Jul-20171311_40.prm",27.797,"Vg.N.C.1.0-10.16",0.3622,0.1007,23.5639,5.3144,1.4773,818.2021,"Vg","N","Vg.N","C","16",1,0,10,5,9,0.355525781319478,"Jul-11"
"129","11-Jul-20171411_46.prm",28.798,"Vg.N.D.1.0-10.16",0.4299,0.1238,28.1237,6.0812,1.7513,971.0821,"Vg","N","Vg.N","D","16",1,0,10,5,10,0.421116074523572,"Jul-11"
"130","11-Jul-20171511_52.prm",27.794,"Vg.N.A.2.0-10.16",0.379,0.1053,24.4825,5.4307,1.5094,836.1499,"Vg","N","Vg.N","A","16",2,0,10,5,11,0.370499066354128,"Jul-11"
"131","11-Jul-20171611_58.prm",28.827,"Vg.N.D.2.0-10.16",0.3618,0.1043,24.279,4.8679,1.4033,776.9316,"Vg","N","Vg.N","D","16",2,0,10,5,12,0.352965135782577,"Jul-11"
"132","11-Jul-20171712_03.prm",25.098,"Vg.N.C.2.0-10.16",0.307,0.0771,18.9084,4.1359,1.038,573.1483,"Vg","N","Vg.N","C","16",2,0,10,5,13,0.298895076195313,"Jul-11"
